Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Unterdietfurt,Gemeinde,9277151,Bayern
Unteregg,Gemeinde,9778207,Bayern
Untereisesheim,Gemeinde,8125096,Baden-Württemberg
Unterensingen,Gemeinde,8116068,Baden-Württemberg
Unterer Wald,Gemeindefreies Gebiet,9571451,Bayern
Unterföhring,Gemeinde,9184147,Bayern
Untergriesbach,Gemeinde,9275153,Bayern
Untergruppenbach,Gemeinde,8125098,Baden-Württemberg
Unterhaching,Gemeinde,9184148,Bayern
Unterjeckenbach,Gemeinde,7336100,Rheinland-Pfalz
Unterkatz,Gemeinde,16066075,Thüringen 
Unterkirnach,Gemeinde,8326065,Baden-Württemberg
Unterleinleiter,Gemeinde,9474168,Bayern
Untermarchtal,Gemeinde,8425123,Baden-Württemberg
Untermaßfeld,Gemeinde,16066076,Thüringen 
Untermeitingen,Gemeinde,9772209,Bayern
Untermerzbach,Gemeinde,9674210,Bayern
Untermünkheim,Gemeinde,8127086,Baden-Württemberg
Unterneukirchen,Gemeinde,9171135,Bayern
Unterpleichfeld,Gemeinde,9679201,Bayern
Unterreichenbach,Gemeinde,8235073,Baden-Württemberg
Unterreit,Gemeinde,9183147,Bayern
Unterroggenburger Wald,Gemeindefreies Gebiet,9775455,Bayern
Unterroth,Gemeinde,9775161,Bayern
Unterschleißheim,Stadt,9184149,Bayern
Unterschneidheim,Gemeinde,8136075,Baden-Württemberg
Unterschönau,Gemeinde,16066077,Thüringen 
Unterschwaningen,Gemeinde,9571208,Bayern
Untershausen,Gemeinde,7143077,Rheinland-Pfalz
Untersiemau,Gemeinde,9473170,Bayern
Unterspreewald,Gemeinde,12061510,Brandenburg
Unterstadion,Gemeinde,8425124,Baden-Württemberg
Untersteinach,Gemeinde,9477159,Bayern
Unterthingau,Gemeinde,9777175,Bayern
Unterwachingen,Gemeinde,8425125,Baden-Württemberg
Unterwaldhausen,Gemeinde,8436077,Baden-Württemberg
Unterweid,Gemeinde,16066078,Thüringen 
Unterweißbach,Gemeinde,16073094,Thüringen 
Unterwellenborn,Gemeinde,16073111,Thüringen 
Unterwössen,Gemeinde,9189160,Bayern
Untrasried,Gemeinde,9777176,Bayern
Unzenberg,Gemeinde,7140154,Rheinland-Pfalz
Upahl,Gemeinde,13074079,Mecklenburg-Vorpommern
Upgant-Schott,Gemeinde,3452024,Niedersachsen
Uphusum,Gemeinde,1054142,Schleswig-Holstein
Uplengen,Gemeinde,3457020,Niedersachsen
Uppershausen,Gemeinde,7232128,Rheinland-Pfalz
Urbach,Gemeinde,7138074,Rheinland-Pfalz
Urbach,Gemeinde,8119076,Baden-Württemberg
Urbach,Gemeinde,16062054,Thüringen 
Urbar,Gemeinde,7137224,Rheinland-Pfalz
Urbar,Gemeinde,7140155,Rheinland-Pfalz
Urleben,Gemeinde,16064064,Thüringen 
Urmersbach,Gemeinde,7135084,Rheinland-Pfalz
Urmitz,Gemeinde,7137225,Rheinland-Pfalz
Urnshausen,Gemeinde,16063081,Thüringen 
Ursberg,Gemeinde,9774116,Bayern
Urschmitt,Gemeinde,7135085,Rheinland-Pfalz
Ursensollen,Gemeinde,9371154,Bayern
Urspringen,Gemeinde,9677193,Bayern
Ürzig,Gemeinde,7231125,Rheinland-Pfalz
Usch,Gemeinde,7232129,Rheinland-Pfalz
Usedom,Stadt,13075137,Mecklenburg-Vorpommern
Userin,Gemeinde,13071147,Mecklenburg-Vorpommern
Usingen,Stadt,6434011,Hessen
Uslar,Stadt,3155012,Niedersachsen
Ustersbach,Gemeinde,9772211,Bayern
Utarp,Gemeinde,3462016,Niedersachsen
Utecht,Gemeinde,13074080,Mecklenburg-Vorpommern
Utendorf,Gemeinde,16066079,Thüringen 
Utersum,Gemeinde,1054143,Schleswig-Holstein
Utscheid,Gemeinde,7232102,Rheinland-Pfalz
Uttenreuth,Gemeinde,9572158,Bayern
Uttenweiler,Gemeinde,8426124,Baden-Württemberg
Üttfeld,Gemeinde,7232333,Rheinland-Pfalz
Utting am Ammersee,Gemeinde,9181144,Bayern
Utzedel,Gemeinde,13071148,Mecklenburg-Vorpommern
Utzenfeld,Gemeinde,8336090,Baden-Württemberg
Utzenhain,Gemeinde,7140156,Rheinland-Pfalz
Utzerath,Gemeinde,7233077,Rheinland-Pfalz
Üxheim,Gemeinde,7233076,Rheinland-Pfalz
Vaale,Gemeinde,1061105,Schleswig-Holstein
Vaalermoor,Gemeinde,1061106,Schleswig-Holstein
Vacha,Stadt,16063082,Thüringen 
Vachdorf,Gemeinde,16066081,Thüringen 
Vachendorf,Gemeinde,9189161,Bayern
Vahlberg,Gemeinde,3158032,Niedersachsen
Vahlbruch,Gemeinde,3255035,Niedersachsen
Vahlde,Gemeinde,3357049,Niedersachsen
Vaihingen an der Enz,Stadt,8118073,Baden-Württemberg
Vallendar,Stadt,7137226,Rheinland-Pfalz
Valley,Gemeinde,9182133,Bayern
Valwig,Gemeinde,7135086,Rheinland-Pfalz
Varchentin,Gemeinde,13071149,Mecklenburg-Vorpommern
Varel,Stadt,3455026,Niedersachsen
Varrel,Gemeinde,3251043,Niedersachsen
Vastorf,Gemeinde,3355038,Niedersachsen
Vaterstetten,Gemeinde,9175132,Bayern
Vechelde,Gemeinde,3157007,Niedersachsen
Vechta,Stadt,3460009,Niedersachsen
Veelböken,Gemeinde,13074081,Mecklenburg-Vorpommern
Veilsdorf,Gemeinde,16069053,Thüringen 
Veitsbronn,Gemeinde,9573130,Bayern
Veitshöchheim,Gemeinde,9679202,Bayern
Veitsrodt,Gemeinde,7134089,Rheinland-Pfalz
Velbert,Stadt,5158032,Nordrhein-Westfalen
Velburg,Stadt,9373167,Bayern
Velden,Gemeinde,9274183,Bayern
Velden,Stadt,9574160,Bayern
Veldensteiner Forst,Gemeindefreies Gebiet,9472468,Bayern
Veldenz,Gemeinde,7231126,Rheinland-Pfalz
Velen,Stadt,5554064,Nordrhein-Westfalen
Velgast,Gemeinde,13073096,Mecklenburg-Vorpommern
Vellahn,Gemeinde,13076142,Mecklenburg-Vorpommern
Vellberg,Stadt,8127089,Baden-Württemberg
Vellmar,Stadt,6633026,Hessen
Velpke,Gemeinde,3154024,Niedersachsen
Velten,Stadt,12065332,Brandenburg
Veltheim (Ohe),Gemeinde,3158033,Niedersachsen
Vendersheim,Gemeinde,7331065,Rheinland-Pfalz
Venningen,Gemeinde,7337077,Rheinland-Pfalz
Ventschow,Gemeinde,13074082,Mecklenburg-Vorpommern
Verchen,Gemeinde,13071150,Mecklenburg-Vorpommern
Verden (Aller),Stadt,3361012,Niedersachsen
Veringenstadt,Stadt,8437114,Baden-Württemberg
Verl,Stadt,5754044,Nordrhein-Westfalen
Versmold,Stadt,5754048,Nordrhein-Westfalen
Vestenbergsgreuth,Gemeinde,9572159,Bayern
Vetschau/Spreewald,Stadt,12066320,Brandenburg
Vettelschoß,Gemeinde,7138075,Rheinland-Pfalz
Vettweiß,Gemeinde,5358060,Nordrhein-Westfalen
Viechtach,Stadt,9276144,Bayern
Vielank,Gemeinde,13076143,Mecklenburg-Vorpommern
Vielbach,Gemeinde,7143078,Rheinland-Pfalz
Vielitzsee,Gemeinde,12068437,Brandenburg
Vierden,Gemeinde,3357050,Niedersachsen
Viereck,Gemeinde,13075138,Mecklenburg-Vorpommern
Viereth-Trunstadt,Gemeinde,9471207,Bayern
Vierherrenborn,Gemeinde,7235140,Rheinland-Pfalz
Vierhöfen,Gemeinde,3353037,Niedersachsen
Vierkirchen,Gemeinde,9174150,Bayern
Vierkirchen,Gemeinde,14626570,Sachsen
Vierlinden,Gemeinde,12064482,Brandenburg
Viernau,Gemeinde,16066082,Thüringen 
Viernheim,Stadt,6431020,Hessen
Viersen,Stadt,5166032,Nordrhein-Westfalen
Vilgertshofen,Gemeinde,9181133,Bayern
Villenbach,Gemeinde,9773179,Bayern
Villingendorf,Gemeinde,8325060,Baden-Württemberg
Villingen-Schwenningen,Stadt,8326074,Baden-Württemberg
Villmar,Gemeinde,6533015,Hessen
Vilsbiburg,Stadt,9274184,Bayern
Vilseck,Stadt,9371156,Bayern
Vilsheim,Gemeinde,9274185,Bayern
Vilshofen an der Donau,Stadt,9275154,Bayern
Vinningen,Gemeinde,7340053,Rheinland-Pfalz
Viöl,Gemeinde,1054144,Schleswig-Holstein
Vippachedelhausen,Gemeinde,16071092,Thüringen 
Vipperow,Gemeinde,13071152,Mecklenburg-Vorpommern
Virneburg,Gemeinde,7137105,Rheinland-Pfalz
Visbek,Gemeinde,3460010,Niedersachsen
Visselhövede,Stadt,3357051,Niedersachsen
Vlotho,Stadt,5758036,Nordrhein-Westfalen
Voerde (Niederrhein),Stadt,5170044,Nordrhein-Westfalen
Vogelsang,Gemeinde,12067508,Brandenburg
Vogelsang-Warsin,Gemeinde,13075139,Mecklenburg-Vorpommern
Vogelsberg,Gemeinde,16068056,Thüringen 
Vögelsen,Gemeinde,3355039,Niedersachsen
Vogt,Gemeinde,8436078,Baden-Württemberg
Vogtareuth,Gemeinde,9187181,Bayern
Vogtei,Gemeinde,16064075,Thüringen 
Vogtsburg im Kaiserstuhl,Stadt,8315133,Baden-Württemberg
Vohburg a.d. Donau,Stadt,9186158,Bayern
Vohenstrauß,Stadt,9374162,Bayern
Vöhl,Gemeinde,6635019,Hessen
Vöhrenbach,Stadt,8326068,Baden-Württemberg
Vöhringen,Gemeinde,8325061,Baden-Württemberg
Vöhringen,Stadt,9775162,Bayern
Voigtsdahlum,Gemeindefreies Gebiet,3158503,Niedersachsen
Voigtsdorf,Gemeinde,13071153,Mecklenburg-Vorpommern
Voigtstedt,Gemeinde,16065076,Thüringen 
Volkach,Stadt,9675174,Bayern
Volkenschwand,Gemeinde,9273178,Bayern
Volkerode,Gemeinde,16061098,Thüringen 
Völkersweiler,Gemeinde,7337078,Rheinland-Pfalz
Volkertshausen,Gemeinde,8335081,Baden-Württemberg
Volkerzen,Gemeinde,7132110,Rheinland-Pfalz
Volkesfeld,Gemeinde,7137106,Rheinland-Pfalz
Völklingen,Stadt,10041519,Saarland
Volkmannsdorf,Gemeinde,16075119,Thüringen 
Volkmarsen,Stadt,6635020,Hessen
Vollburg,Gemeindefreies Gebiet,9678456,Bayern
Vollersode,Gemeinde,3356010,Niedersachsen
Vollersroda,Gemeinde,16071093,Thüringen 
Vollerwiek,Gemeinde,1054145,Schleswig-Holstein
Vollmersbach,Gemeinde,7134090,Rheinland-Pfalz
Vollmershain,Gemeinde,16077049,Thüringen 
Vollmersweiler,Gemeinde,7334031,Rheinland-Pfalz
Vollrathsruhe,Gemeinde,13071154,Mecklenburg-Vorpommern
Vollstedt,Gemeinde,1054146,Schleswig-Holstein
Völpke,Gemeinde,15083515,Sachsen-Anhalt
Völschow,Gemeinde,13075140,Mecklenburg-Vorpommern
Volsemenhusen,Gemeinde,1051119,Schleswig-Holstein
Voltlage,Gemeinde,3459032,Niedersachsen
Volxheim,Gemeinde,7133106,Rheinland-Pfalz
Vorbach,Gemeinde,9374163,Bayern
Vorbeck,Gemeinde,13072110,Mecklenburg-Vorpommern
Vorderweidenthal,Gemeinde,7337079,Rheinland-Pfalz
Vordorf,Gemeinde,3151034,Niedersachsen
Vordorfer Forst,Gemeindefreies Gebiet,9479461,Bayern
Vorra,Gemeinde,9574161,Bayern
Vörstetten,Gemeinde,8316045,Baden-Württemberg
Vorwerk,Gemeinde,3357052,Niedersachsen
Vreden,Stadt,5554068,Nordrhein-Westfalen
Vrees,Gemeinde,3454055,Niedersachsen
Waabs,Gemeinde,1058166,Schleswig-Holstein
Waake,Gemeinde,3152027,Niedersachsen
Waakirchen,Gemeinde,9182134,Bayern
Waal,Gemeinde,9777177,Bayern
Wabern,Gemeinde,6634025,Hessen
Wachau,Gemeinde,14625600,Sachsen
Wachenheim,Gemeinde,7331066,Rheinland-Pfalz
Wachenheim an der Weinstraße,Stadt,7332046,Rheinland-Pfalz
Wachenroth,Gemeinde,9572160,Bayern
Wachstedt,Gemeinde,16061101,Thüringen 
Wachtberg,Gemeinde,5382072,Nordrhein-Westfalen
Wachtendonk,Gemeinde,5154060,Nordrhein-Westfalen
Wächtersbach,Stadt,6435029,Hessen
Wacken,Gemeinde,1061107,Schleswig-Holstein
Wackernheim,Gemeinde,7339061,Rheinland-Pfalz
Wackerow,Gemeinde,13075141,Mecklenburg-Vorpommern
Wackersberg,Gemeinde,9173145,Bayern
Wackersdorf,Gemeinde,9376175,Bayern
Waddeweitz,Gemeinde,3354024,Niedersachsen
Wadern,Stadt,10042116,Saarland
Wadersloh,Gemeinde,5570048,Nordrhein-Westfalen
Wadgassen,Gemeinde,10044120,Saarland
Waffenbrunn,Gemeinde,9372168,Bayern
Wagenfeld,Gemeinde,3251044,Niedersachsen
Wagenhausen,Gemeinde,7135087,Rheinland-Pfalz
Wagenhoff,Gemeinde,3151035,Niedersachsen
Wagersrott,Gemeinde,1059095,Schleswig-Holstein
Waghäusel,Stadt,8215106,Baden-Württemberg
Waging a. See,Gemeinde,9189162,Bayern
Waginger See,Gemeindefreies Gebiet,9189452,Bayern
Wahlbach,Gemeinde,7140158,Rheinland-Pfalz
Wahlenau,Gemeinde,7140159,Rheinland-Pfalz
Wahlhausen,Gemeinde,16061102,Thüringen 
Wahlheim,Gemeinde,7331067,Rheinland-Pfalz
Wahlrod,Gemeinde,7143301,Rheinland-Pfalz
Wahlsburg,Gemeinde,6633027,Hessen
Wahlstedt,Stadt,1060092,Schleswig-Holstein
Wahlstorf,Gemeinde,1057084,Schleswig-Holstein
Wahns,Gemeinde,16066083,Thüringen 
Wahnwegen,Gemeinde,7336101,Rheinland-Pfalz
Wahrenholz,Gemeinde,3151036,Niedersachsen
Waiblingen,Stadt,8119079,Baden-Württemberg
Waibstadt,Stadt,8226091,Baden-Württemberg
Waidacher Forst,Gemeindefreies Gebiet,9472469,Bayern
Waidhaus,Gemeinde,9374164,Bayern
Waidhofen,Gemeinde,9185166,Bayern
Waigandshain,Gemeinde,7143302,Rheinland-Pfalz
Waigolshausen,Gemeinde,9678190,Bayern
Wain,Gemeinde,8426125,Baden-Württemberg
Waischenfeld,Stadt,9472197,Bayern
Wakendorf I,Gemeinde,1060093,Schleswig-Holstein
Wakendorf II,Gemeinde,1060094,Schleswig-Holstein
Walchum,Gemeinde,3454056,Niedersachsen
Wald,Gemeinde,8437118,Baden-Württemberg
Wald,Gemeinde,9372169,Bayern
Wald,Gemeinde,9777179,Bayern
Waldachtal,Gemeinde,8237074,Baden-Württemberg
Waldalgesheim,Gemeinde,7339062,Rheinland-Pfalz
Waldaschaff,Gemeinde,9671156,Bayern
Waldaschaffer Forst,Gemeindefreies Gebiet,9671460,Bayern
Waldböckelheim,Gemeinde,7133107,Rheinland-Pfalz
Waldbreitbach,Gemeinde,7138076,Rheinland-Pfalz
Waldbröl,Stadt,5374044,Nordrhein-Westfalen
Waldbronn,Gemeinde,8215110,Baden-Württemberg
Waldbrunn,Gemeinde,8225118,Baden-Württemberg
Waldbrunn,Gemeinde,9679204,Bayern
Waldbrunn (Westerwald),Gemeinde,6533016,Hessen
Waldburg,Gemeinde,8436079,Baden-Württemberg
Waldbüttelbrunn,Gemeinde,9679205,Bayern
Walddorfhäslach,Gemeinde,8415087,Baden-Württemberg
Waldeck,Stadt,6635021,Hessen
Waldeck,Gemeinde,16074105,Thüringen 
Waldems,Gemeinde,6439016,Hessen
Waldenbuch,Stadt,8115048,Baden-Württemberg
Waldenburg,Stadt,8126085,Baden-Württemberg
Waldenburg,Stadt,14524290,Sachsen
Walderbach,Gemeinde,9372170,Bayern
Waldershof,Stadt,9377157,Bayern
Waldesch,Gemeinde,7137227,Rheinland-Pfalz
Waldfensterer Forst,Gemeindefreies Gebiet,9672468,Bayern
Waldfeucht,Gemeinde,5370032,Nordrhein-Westfalen
Waldfischbach-Burgalben,Gemeinde,7340054,Rheinland-Pfalz
Waldgrehweiler,Gemeinde,7333079,Rheinland-Pfalz
Waldhambach,Gemeinde,7337080,Rheinland-Pfalz
Waldhäuserwald,Gemeindefreies Gebiet,9272463,Bayern
Waldheim,Stadt,14522570,Sachsen
Waldhof-Falkenstein,Gemeinde,7232130,Rheinland-Pfalz
Waldhufen,Gemeinde,14626580,Sachsen
Waldkappel,Stadt,6636012,Hessen
Waldkirch,Stadt,8316056,Baden-Württemberg
Waldkirchen,Stadt,9272151,Bayern
Waldkraiburg,Stadt,9183148,Bayern
Waldlaubersheim,Gemeinde,7133108,Rheinland-Pfalz
Waldleiningen,Gemeinde,7335048,Rheinland-Pfalz
Wald-Michelbach,Gemeinde,6431021,Hessen
Waldmohr,Gemeinde,7336102,Rheinland-Pfalz
Waldmühlen,Gemeinde,7143303,Rheinland-Pfalz
Waldmünchen,Stadt,9372171,Bayern
Waldorf,Gemeinde,7131081,Rheinland-Pfalz
Waldrach,Gemeinde,7235141,Rheinland-Pfalz
Waldrohrbach,Gemeinde,7337081,Rheinland-Pfalz
Waldsassen,Stadt,9377158,Bayern
Waldsee,Gemeinde,7338026,Rheinland-Pfalz
Waldshut-Tiengen,Stadt,8337126,Baden-Württemberg
Waldsieversdorf,Gemeinde,12064484,Brandenburg
Waldsolms,Gemeinde,6532022,Hessen
Waldstetten,Gemeinde,8136079,Baden-Württemberg
Waldstetten,Gemeinde,9774191,Bayern
Waldthurn,Gemeinde,9374165,Bayern
Waldweiler,Gemeinde,7235142,Rheinland-Pfalz
Walhausen,Gemeinde,7135088,Rheinland-Pfalz
Walheim,Gemeinde,8118074,Baden-Württemberg
Walkendorf,Gemeinde,13072111,Mecklenburg-Vorpommern
Walkenried,Gemeinde,3156012,Niedersachsen
Walkertshofen,Gemeinde,9772214,Bayern
Walksfelde,Gemeinde,1053127,Schleswig-Holstein
Wallbach,Gemeinde,16066084,Thüringen 
Walldorf,Stadt,8226095,Baden-Württemberg
Walldorf,Gemeinde,16066085,Thüringen 
Walldürn,Stadt,8225109,Baden-Württemberg
Wallen,Gemeinde,1051120,Schleswig-Holstein
Wallenborn,Gemeinde,7233079,Rheinland-Pfalz
Wallendorf,Gemeinde,7232131,Rheinland-Pfalz
Wallenfels,Stadt,9476184,Bayern
Wallenhorst,Gemeinde,3459033,Niedersachsen
Wallerfangen,Gemeinde,10044121,Saarland
Wallerfing,Gemeinde,9271152,Bayern
Wallersdorf,Gemeinde,9279137,Bayern
Wallersheim,Gemeinde,7232318,Rheinland-Pfalz
Wallerstein,Gemeinde,9779224,Bayern
Wallertheim,Gemeinde,7331068,Rheinland-Pfalz
Wallgau,Gemeinde,9180136,Bayern
Wallhalben,Gemeinde,7340225,Rheinland-Pfalz
Wallhausen,Gemeinde,7133109,Rheinland-Pfalz
Wallhausen,Gemeinde,8127091,Baden-Württemberg
Wallhausen,Gemeinde,15087440,Sachsen-Anhalt
Wallmenroth,Gemeinde,7132111,Rheinland-Pfalz
Wallmerod,Gemeinde,7143304,Rheinland-Pfalz
Wallmoden,Gemeinde,3153014,Niedersachsen
Wallsbüll,Gemeinde,1059173,Schleswig-Holstein
Wallscheid,Gemeinde,7231127,Rheinland-Pfalz
Wallstawe,Gemeinde,15081545,Sachsen-Anhalt
Walluf,Gemeinde,6439017,Hessen
Walow,Gemeinde,13071155,Mecklenburg-Vorpommern
Walpernhain,Gemeinde,16074106,Thüringen 
Walpertskirchen,Gemeinde,9177142,Bayern
Walschleben,Gemeinde,16068057,Thüringen 
Walsdorf,Gemeinde,7233080,Rheinland-Pfalz
Walsdorf,Gemeinde,9471208,Bayern
Walshausen,Gemeinde,7340226,Rheinland-Pfalz
Walsheim,Gemeinde,7337082,Rheinland-Pfalz
Walsleben,Gemeinde,12068452,Brandenburg
Walsrode,Stadt,3358022,Niedersachsen
Waltenhausen,Gemeinde,9774192,Bayern
Waltenhofen,Gemeinde,9780143,Bayern
Walterschen,Gemeinde,7132112,Rheinland-Pfalz
Waltersdorf,Gemeinde,16074107,Thüringen 
Waltershausen,Stadt,16067072,Thüringen 
Walting,Gemeinde,9176165,Bayern
Waltrop,Stadt,5562036,Nordrhein-Westfalen
Walzbachtal,Gemeinde,8215089,Baden-Württemberg
Wanderup,Gemeinde,1059174,Schleswig-Holstein
Wandlitz,Gemeinde,12060269,Brandenburg
Wanfried,Stadt,6636013,Hessen
Wang,Gemeinde,9178155,Bayern
Wangelau,Gemeinde,1053128,Schleswig-Holstein
Wangelnstedt,Gemeinde,3255036,Niedersachsen
Wangels,Gemeinde,1055043,Schleswig-Holstein
Wangen,Gemeinde,8117055,Baden-Württemberg
Wangen im Allgäu,Stadt,8436081,Baden-Württemberg
Wangenheim,Gemeinde,16067074,Thüringen 
Wangerland,Gemeinde,3455020,Niedersachsen
Wangerooge,Gemeinde,3455021,Niedersachsen
Wankendorf,Gemeinde,1057085,Schleswig-Holstein
Wanna,Gemeinde,3352055,Niedersachsen
Wannweil,Gemeinde,8415080,Baden-Württemberg
Wanzleben-Börde,Stadt,15083531,Sachsen-Anhalt
Wapelfeld,Gemeinde,1058167,Schleswig-Holstein
Warberg,Gemeinde,3154025,Niedersachsen
Warburg,Stadt,5762036,Nordrhein-Westfalen
Wardenburg,Gemeinde,3458013,Niedersachsen
Warder,Gemeinde,1058168,Schleswig-Holstein
Wardow,Gemeinde,13072112,Mecklenburg-Vorpommern
Waren (Müritz),Stadt,13071156,Mecklenburg-Vorpommern
Warendorf,Stadt,5570052,Nordrhein-Westfalen
Warin,Stadt,13074084,Mecklenburg-Vorpommern
Warlitz,Gemeinde,13076145,Mecklenburg-Vorpommern
Warlow,Gemeinde,13076146,Mecklenburg-Vorpommern
Warmensteinach,Gemeinde,9472198,Bayern
Warmensteinacher Forst-Nord,Gemeindefreies Gebiet,9472470,Bayern
Warmsen,Gemeinde,3256034,Niedersachsen
Warmsroth,Gemeinde,7133110,Rheinland-Pfalz
Warnau,Gemeinde,1057086,Schleswig-Holstein
Warngau,Gemeinde,9182136,Bayern
Warnkenhagen,Gemeinde,13072113,Mecklenburg-Vorpommern
Warnow,Gemeinde,13072114,Mecklenburg-Vorpommern
Warnow,Gemeinde,13074085,Mecklenburg-Vorpommern
Warpe,Gemeinde,3256035,Niedersachsen
Warrenzin,Gemeinde,13071157,Mecklenburg-Vorpommern
Warringholz,Gemeinde,1061108,Schleswig-Holstein
Warsow,Gemeinde,13076147,Mecklenburg-Vorpommern
Warstein,Stadt,5974044,Nordrhein-Westfalen
Wartenberg,Gemeinde,6535019,Hessen
Wartenberg,Gemeinde,9177143,Bayern
Wartenberg-Rohrbach,Gemeinde,7333080,Rheinland-Pfalz
Warthausen,Gemeinde,8426128,Baden-Württemberg
Wartmannsroth,Gemeinde,9672161,Bayern
Warwerort,Gemeinde,1051121,Schleswig-Holstein
Warza,Gemeinde,16067075,Thüringen 
Wasbek,Gemeinde,1058169,Schleswig-Holstein
Wasbüttel,Gemeinde,3151037,Niedersachsen
Wäschenbeuren,Gemeinde,8117053,Baden-Württemberg
Wasenbach,Gemeinde,7141133,Rheinland-Pfalz
Wassenach,Gemeinde,7131209,Rheinland-Pfalz
Wassenberg,Stadt,5370036,Nordrhein-Westfalen
Wasserburg (Bodensee),Gemeinde,9776128,Bayern
Wasserburg a. Inn,Stadt,9187182,Bayern
Wasserliesch,Gemeinde,7235143,Rheinland-Pfalz
Wasserlosen,Gemeinde,9678192,Bayern
Wasserthaleben,Gemeinde,16065077,Thüringen 
Wassertrüdingen,Stadt,9571214,Bayern
Wasungen,Stadt,16066086,Thüringen 
Wathlingen,Gemeinde,3351021,Niedersachsen
Wattenbek,Gemeinde,1058170,Schleswig-Holstein
Wattendorf,Gemeinde,9471209,Bayern
Wattenheim,Gemeinde,7332047,Rheinland-Pfalz
Watzerath,Gemeinde,7232320,Rheinland-Pfalz
Wawern,Gemeinde,7232321,Rheinland-Pfalz
Wawern,Gemeinde,7235144,Rheinland-Pfalz
Waxweiler,Gemeinde,7232322,Rheinland-Pfalz
Weberstedt,Gemeinde,16064065,Thüringen 
Wechingen,Gemeinde,9779226,Bayern
Wechselburg,Gemeinde,14522580,Sachsen
Weddelbrook,Gemeinde,1060095,Schleswig-Holstein
Weddingstedt,Gemeinde,1051122,Schleswig-Holstein
Wedel,Stadt,1056050,Schleswig-Holstein
Wedemark,Gemeinde,3241019,Niedersachsen
Wedendorfersee,Gemeinde,13074092,Mecklenburg-Vorpommern
Weede,Gemeinde,1060096,Schleswig-Holstein
Weener,Stadt,3457021,Niedersachsen
Weenzen,Gemeinde,3254040,Niedersachsen
Wees,Gemeinde,1059176,Schleswig-Holstein
Weesby,Gemeinde,1059177,Schleswig-Holstein
Weeze,Gemeinde,5154064,Nordrhein-Westfalen
Wefensleben,Gemeinde,15083535,Sachsen-Anhalt
Wegberg,Stadt,5370040,Nordrhein-Westfalen
Wegeleben,Stadt,15085365,Sachsen-Anhalt
Wegscheid,Gemeinde,9275156,Bayern
Wehingen,Gemeinde,8327051,Baden-Württemberg
Wehnde,Gemeinde,16061103,Thüringen 
Wehr,Gemeinde,7131210,Rheinland-Pfalz
Wehr,Stadt,8337116,Baden-Württemberg
Wehrbleck,Gemeinde,3251045,Niedersachsen
Wehretal,Gemeinde,6636014,Hessen
Wehrheim,Gemeinde,6434012,Hessen
Wehringen,Gemeinde,9772215,Bayern
Weibern,Gemeinde,7131211,Rheinland-Pfalz
Weibersbrunn,Gemeinde,9671157,Bayern
Weichering,Gemeinde,9185168,Bayern
Weichs,Gemeinde,9174151,Bayern
Weida,Stadt,16076079,Thüringen 
Weiden,Gemeinde,7134091,Rheinland-Pfalz
Weiden i.d. OPf.,Stadt,9363000,Bayern
Weidenbach,Gemeinde,7141134,Rheinland-Pfalz
Weidenbach,Gemeinde,7233081,Rheinland-Pfalz
Weidenbach,Gemeinde,9571216,Bayern
Weidenberg,Gemeinde,9472199,Bayern
Weidenhahn,Gemeinde,7143305,Rheinland-Pfalz
Weidenstetten,Gemeinde,8425130,Baden-Württemberg
Weidenthal,Gemeinde,7332048,Rheinland-Pfalz
Weidhausen b. Coburg,Gemeinde,9473174,Bayern
Weiding,Gemeinde,9372174,Bayern
Weiding,Gemeinde,9376176,Bayern
Weidingen,Gemeinde,7232132,Rheinland-Pfalz
Weigendorf,Gemeinde,9371157,Bayern
Weigenheim,Gemeinde,9575179,Bayern
Weigler,Gemeindefreies Gebiet,9673458,Bayern
Weihenzell,Gemeinde,9571217,Bayern
Weiherhammer,Gemeinde,9374166,Bayern
Weihmichl,Gemeinde,9274187,Bayern
Weikersheim,Stadt,8128126,Baden-Württemberg
Weil,Gemeinde,9181145,Bayern
Weil am Rhein,Stadt,8336091,Baden-Württemberg
Weil der Stadt,Stadt,8115050,Baden-Württemberg
Weil im Schönbuch,Gemeinde,8115051,Baden-Württemberg
Weilar,Gemeinde,16063084,Thüringen 
Weilbach,Gemeinde,9676165,Bayern
Weilburg,Stadt,6533017,Hessen
Weilen unter den Rinnen,Gemeinde,8417071,Baden-Württemberg
Weiler,Gemeinde,7135089,Rheinland-Pfalz
Weiler,Gemeinde,7137110,Rheinland-Pfalz
Weiler bei Bingen,Gemeinde,7339063,Rheinland-Pfalz
Weiler bei Monzingen,Gemeinde,7133111,Rheinland-Pfalz
Weilerbach,Gemeinde,7335049,Rheinland-Pfalz
Weilersbach,Gemeinde,9474171,Bayern
Weiler-Simmerberg,Gemeinde,9776129,Bayern
Weilerswist,Gemeinde,5366040,Nordrhein-Westfalen
Weilheim,Gemeinde,8337118,Baden-Württemberg
Weilheim an der Teck,Stadt,8116070,Baden-Württemberg
Weilheim i. OB,Stadt,9190157,Bayern
Weilmünster,Gemeinde,6533018,Hessen
Weilrod,Gemeinde,6434013,Hessen
Weiltingen,Gemeinde,9571218,Bayern
Weimar,Stadt,16055000,Thüringen 
Weimar (Lahn),Gemeinde,6534020,Hessen
