Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Eilscheid,Gemeinde,7232217,Rheinland-Pfalz
Eilsleben,Gemeinde,15083190,Sachsen-Anhalt
Eime,Gemeinde,3254013,Niedersachsen
Eimeldingen,Gemeinde,8336019,Baden-Württemberg
Eimen,Gemeinde,3255012,Niedersachsen
Eimen,Gemeindefreies Gebiet,3255502,Niedersachsen
Eimke,Gemeinde,3360007,Niedersachsen
Eimsheim,Gemeinde,7339015,Rheinland-Pfalz
Einbeck,Stadt,3155013,Niedersachsen
Eineborn,Gemeinde,16074017,Thüringen 
Einhaus,Gemeinde,1053026,Schleswig-Holstein
Einhausen,Gemeinde,6431006,Hessen
Einhausen,Gemeinde,16066017,Thüringen 
Einig,Gemeinde,7137023,Rheinland-Pfalz
Einöllen,Gemeinde,7336019,Rheinland-Pfalz
Einselthum,Gemeinde,7333018,Rheinland-Pfalz
Eiselfing,Gemeinde,9187126,Bayern
Eisenach,Gemeinde,7232218,Rheinland-Pfalz
Eisenach,Stadt,16056000,Thüringen 
Eisenbach (Hochschwarzwald),Gemeinde,8315031,Baden-Württemberg
Eisenberg,Gemeinde,9777125,Bayern
Eisenberg,Stadt,16074018,Thüringen 
Eisenberg (Pfalz),Stadt,7333019,Rheinland-Pfalz
Eisendorf,Gemeinde,1058045,Schleswig-Holstein
Eisenheim,Gemeinde,9679167,Bayern
Eisenhüttenstadt,Stadt,12067120,Brandenburg
Eisenschmitt,Gemeinde,7231026,Rheinland-Pfalz
Eisfeld,Stadt,16069012,Thüringen 
Eisighofen,Gemeinde,7141036,Rheinland-Pfalz
Eisingen,Gemeinde,8236011,Baden-Württemberg
Eisingen,Gemeinde,9679126,Bayern
Eisleben,Stadt,15087130,Sachsen-Anhalt
Eislingen/Fils,Stadt,8117019,Baden-Württemberg
Eitelborn,Gemeinde,7143013,Rheinland-Pfalz
Eitensheim,Gemeinde,9176124,Bayern
Eiterfeld,Gemeinde,6631007,Hessen
Eitorf,Gemeinde,5382016,Nordrhein-Westfalen
Eitting,Gemeinde,9177116,Bayern
Eixen,Gemeinde,13073022,Mecklenburg-Vorpommern
Elbe,Gemeinde,3158011,Niedersachsen
Elben,Gemeinde,7132024,Rheinland-Pfalz
Elbe-Parey,Gemeinde,15086035,Sachsen-Anhalt
Elbingen,Gemeinde,7143501,Rheinland-Pfalz
Elbingerode,Gemeinde,3156006,Niedersachsen
Elbtal,Gemeinde,6533005,Hessen
